nid,title,,,,projectcity,projectstate,office,category,,projectdescrip
158,Marriott Courtyard Hotel,,,,Los Altos,California,Sacramento,Parking,,
159,United Artists Theater,,,,Elk Grove,California,Sacramento,Theater and Entertainment,,
160,Panera Bread at The Commons,,,,Federal Way,Washington,Seattle,Food Service,,
161,Albertsons,,,,Multiple Locations,,Multiple Locations,Grocery,,
162,Redmond Town Square,,,,Redmond,Washington,Seattle,Parking,,
163,First Lutheran Church of Richmond Beach,,,,Shoreline,Washington,Seattle,Religious Facilities,,
164,Newport Presbyterian Church,,,,Bellevue,Washington,Seattle,Religious Facilities,,
165,Regal Theaters,,,,Multiple Locations,,Seattle,Theater and Entertainment,,
166,Hampton Inn and Suites and Holiday Inn Express,,,,Sacramento,California,Sacramento,Hospitality,,
167,Comfort Suites,,,,Seattle,Washington,Seattle,Parking,,
168,Multnomah Presbyterian Church,,,,Portland,Oregon,Portland,Religious Facilities,,
169,Comfort Suites,,,,Elk Grove,California,Sacramento,Repair and Restoration,,
171,Santa Rosa Town Center,,,,Santa Rosa,California,Sacramento,Repair and Restoration,,
172,Cinemark Theatre at Medford Center Mall,,,,Medford,Oregon,Portland,Theater and Entertainment,,
173,Bradley-Angle House,,,,Portland,Oregon,Portland,Charitable,,
174,Citrus Heights Little League Snack Bars,,,,Citrus Heights,California,Sacramento,Charitable,,
175,The Dougy Center,,,,Portland,Oregon,Portland,Charitable,,
176,Food Finders,,,,Orange County,California,Irvine,Charitable,,
177,Get Fit to Give Back Fundraising Walk Efforts,,,,Sacramento,California,Sacramento,Charitable,,
178,Habitat for Humanity - Portland,,,,Portland,Oregon,Portland,Charitable,,
179,Oregon Food Bank,,,,Portland,Oregon,Portland,Charitable,,
180,Trillium Family Services - Parry Center,,,,Portland,Oregon,Portland,Charitable,,
181,Roadside Cleanup,,,,Portland,Oregon,Portland,Charitable,,
182,Yoshida's Sand in the City,,,,Portland,Oregon,Portland,Charitable,,
183,Share Our Selves,,,,Costa Mesa,California,Irvine,Charitable,,
184,Share Our Selves and Operation Homefront,,,,San Diego,California,Multiple Locations,Charitable,,
185,WISEPlace,,,,Santa Ana,California,Irvine,Charitable,,
186,National Multiple Sclerosis Society,,,,Seattle,Washington,Seattle,Charitable,,
187,Garries Family Home Remodel,,,,Seattle,Washington,Seattle,Charitable,,
188,Pasado's Safe Haven,,,,Seattle,Washington,Seattle,Charitable,,
